ID,X,Y,X2,Y2,Active
17,250.000001,-1010.362969,250.000001,-721.687835,1
17,250.000001,-721.687835,500.000001,-577.350267,1
17,500.000001,-577.350267,750.000001,-721.687835,1
17,750.000001,-721.687835,750.000001,-1010.362969,1
18,1000.000000,-577.350269,750.000000,-721.687836,1
18,750.000000,-721.687836,500.000000,-577.350269,1
18,500.000000,-577.350269,500.000000,-288.675135,1
18,500.000000,-288.675135,750.000000,-144.337567,1
18,750.000000,-144.337567,1000.000000,-288.675135,1
18,1000.000000,-288.675135,1000.000000,-577.350269,1
